token,timestamp,x,y,z,qw,qx,qy,qz,vx,vy,vz,acceleration_x,acceleration_y,acceleration_z,angular_rate_x,angular_rate_y,angular_rate_z,epsg,log_token
b'G\x92fk\xa9\x08V\xea',1633942870173548,365295.0037797468,144141.23993657803,20.980825816909675,0.9556808080147067,-0.038872248786613876,-0.032351092158336356,0.29002853015314195,0.4527892153413085,-0.006579710018228439,0.005057489512462862,0.8430206143851271,-0.005123207842745099,-0.007565080300467614,0.0008552799721070097,0.0005881573964265522,-0.023095680332120755,32648,b'\xcc\xe3\xe9\x8b4\x9cX7'
b'\xec\xae`\xbe\x1c~V\x9d',1633942870183006,365295.00812368945,144141.2428366523,20.98097486565929,0.9557130791430126,-0.03894355843707548,-0.0321237342920987,0.2899378818063802,0.46584324617371325,-0.0062988623500386184,0.004832560294352924,0.8431796672523404,-0.005531876892571673,-0.007228875840738738,0.0008553066634642429,0.0005881880340821943,-0.023095634465364563,32648,b'\xcc\xe3\xe9\x8b4\x9cX7'
b'.\xc6\xd9\n\xef4[Z',1633942870193592,365295.0122217792,144141.2455114498,20.981218669626156,0.9557488972316461,-0.03893517578379022,-0.0321307305002369,0.2898201402330397,0.4742965117308133,-0.006456010252669283,0.004631461618186717,0.8186372346874727,-0.0263658057860176,-0.019177807773324222,0.00020876912736157412,-0.0005928369347404449,-0.02392045156974614,32648,b'\xcc\xe3\xe9\x8b4\x9cX7'
b'4\xd3@3jtUT',1633942870203075,365295.0163773062,144141.2479020406,20.981425711497884,0.9557830014471799,-0.03892993360901704,-0.03211049339895312,0.28971059805863764,0.4830532808151195,-0.006656826565960169,0.004284253175675854,0.8845901830843064,0.01200476286486404,-0.030842326493404106,-0.001923994963547517,-0.000555680765909276,-0.02554789176455133,32648,b'\xcc\xe3\xe9\x8b4\x9cX7'
"b""\x9d2'G\xfe`V\xc8""",1633942870213707,365295.02126352704,144141.25115527082,20.98160646677336,0.9558235476294118,-0.038997063639506176,-0.03193993919851241,0.2895866279865445,0.49654206312406474,-0.006182653555124382,0.0036635592053639414,0.899501389069611,0.004929112037028004,-0.048113296767485526,-0.0014661967686675922,-0.000800853144755171,-0.027051967665034433,32648,b'\xcc\xe3\xe9\x8b4\x9cX7'
b'\x82\xbf\x8ed\xad\xab_\xd8',1633942870223352,365295.02645484713,144141.2544235356,20.9800694552354,0.9558562434485148,-0.03906388801390407,-0.03171318296430091,0.2894946088271826,0.50991619517813,-0.0057570619646554,0.0023234112967144074,0.8037163719663112,0.03438570806367035,-0.11064608111693058,-0.00020737146529106222,-0.004233648074346263,-0.02693748678859925,32648,b'\xcc\xe3\xe9\x8b4\x9cX7'
b'\xca\xa26\xe6z\xe2^b',1633942870232828,365295.03119696263,144141.25758566096,20.980223382826175,0.9558938186240664,-0.03913602054795928,-0.031526467131595876,0.28938116953625476,0.5224549828232858,-0.005140070094799321,0.001640398246089924,0.8543819886620831,0.02541263767034199,-0.06632377317022804,-0.0018667649464067697,-0.0008570512235600438,-0.027795707541528863,32648,b'\xcc\xe3\xe9\x8b4\x9cX7'
b'\xe6\x01+\xde\x7ft[S',1633942870243119,365295.03570220503,144141.26053096403,20.98044100276139,0.955934225282548,-0.03913650248164385,-0.03153829658472112,0.28924630845612054,0.5311530506274641,-0.004732251588858446,0.0009584925411811329,0.8581127448729301,0.025699255817394927,-0.06680243877056513,-0.0018667868342551173,-0.0008565796455783471,-0.0277956641994399,32648,b'\xcc\xe3\xe9\x8b4\x9cX7'
b'p*W\n\x05\xc0Q\xe5',1633942870253818,365295.0410005474,144141.26377628872,20.98063120686843,0.9559741700248957,-0.03914180653531047,-0.03150537683790669,0.2891171327622522,0.5414803503324845,-0.004588117615998737,-0.00036496141981403815,0.8902565953627372,0.028967534151812684,-0.12208635833574814,-0.002281635459255117,-0.0009424103955783474,-0.0292977023244399,32648,b'\xcc\xe3\xe9\x8b4\x9cX7'
b'\x187\x81\xe5/AZ\xf2',1633942870263591,365295.04620412306,144141.2672456025,20.980781543459262,0.9560157063321341,-0.03922498009548691,-0.03129815763050769,0.2889909955547328,0.5552321810936726,-0.003684740940909019,-0.0012869900068303262,0.8901932844084053,0.055196141556535204,-0.09803622172892733,-0.003068392362429088,-0.003169822815044306,-0.030779268268882363,32648,b'\xcc\xe3\xe9\x8b4\x9cX7'
b'\n\xb1X\x13\xa1\xf5\\\x9e',1633942870273275,365295.0512912441,144141.27052056955,20.979259684898192,0.9560538218900737,-0.03923825939457635,-0.03126507693978046,0.2888666536881975,0.5647033971270438,-0.0031928715294781574,-0.0028045269200058266,0.8630364340662097,0.044784700422599605,-0.1389086603375737,-0.0024962070019616594,-0.002642482153533402,-0.031578488220065516,32648,b'\xcc\xe3\xe9\x8b4\x9cX7'
b'\x86\x17;\xdc\x98.To',1633942870282777,365295.055756855,144141.2734542044,20.97942298759765,0.9560973918187067,-0.039237700601235534,-0.031286223891998984,0.288720197429231,0.5734004430108749,-0.0024894653397768965,-0.004143932797274642,0.9350121229917422,0.05699071778262682,-0.14239586963929116,-0.002496198539000214,-0.002801306512477089,-0.03294538145842144,32648,b'\xcc\xe3\xe9\x8b4\x9cX7'
b'\xe2ZF\x1a\x93 VG',1633942870293126,365295.06149120803,144141.27727277248,20.979593914674282,0.9561463385934542,-0.03930360073203567,-0.031120023249693055,0.2885670638114596,0.5872596729005889,-0.0016981529664074006,-0.005564565647358619,0.9088085813976617,0.04372398176593866,-0.15148142625195282,-0.0027250805390002138,-0.004460701012477089,-0.03380368895842144,32648,b'\xcc\xe3\xe9\x8b4\x9cX7'
b'f\x8e\xc6\x15$1TU',1633942870302673,365295.0675659683,144141.2812490944,20.979725138247268,0.9561796933483571,-0.0393752249169772,-0.030893769226513497,0.2884710743106808,0.6022360074730505,-0.0012416276869544403,-0.006410618375207747,0.9602334088702357,0.03350949140856132,-0.10129151707033984,-0.001180140063147479,-0.0037735855537361,-0.0345475121897033,32648,b'\xcc\xe3\xe9\x8b4\x9cX7'
b'\xff\x1c\x8b!\xee\x90S\x02',1633942870313276,365295.07281815575,144141.2847150727,20.979869158735713,0.9562305506769945,-0.039369244386856246,-0.030923650085455518,0.2883000596839554,0.6111729020442495,-0.0008017630109647801,-0.008490376437410366,0.8707178336398732,0.02177764208688506,-0.20005060343379608,-0.001924004904234617,-0.004230765121381759,-0.034947901185422806,32648,b'\xcc\xe3\xe9\x8b4\x9cX7'
b'\x0b\x12\x13\xb5\x13\x83T\x16',1633942870322635,365295.07941213116,144141.28897936936,20.978322844312537,0.9562670264833967,-0.039454890915862434,-0.03065425187105249,0.2881961180960741,0.6268646705561477,-0.0008765538970702429,-0.009302292195044741,0.9232466591765861,-0.0209895668055376,-0.08663004291334411,-0.0019240049042346173,-0.004230765121381759,-0.03838113118542281,32648,b'\xcc\xe3\xe9\x8b4\x9cX7'
"b""\xb9'c\x82P\xb7P\x14""",1633942870333137,365295.08489674836,144141.29259735133,20.978459794529872,0.9563216828440336,-0.03944624528440405,-0.030694099248398204,0.28801164026241666,0.6363258638069417,-0.0004293082520083647,-0.009835040858606984,0.9204934067125108,0.019836936882838222,-0.047969762891290124,-0.002080053213856951,-0.006102744728666687,-0.03770471545281578,32648,b'\xcc\xe3\xe9\x8b4\x9cX7'
b'=\xbc_\x8d5\xbbR\x84',1633942870343424,365295.0903558599,144141.29620018805,20.978590844623522,0.9563785971952145,-0.039435728674960764,-0.030732334756581325,0.2878199536710374,0.6453039730398831,-0.00019394391639828324,-0.01051943106497924,0.8897096292207519,-0.0021020102906189725,-0.063998219945774,-0.0017332623047660418,-0.005946688819575779,-0.03990683772554306,32648,b'\xcc\xe3\xe9\x8b4\x9cX7'
b'\x1cjQ\xc6F;P\xd5',1633942870352966,365295.09720398166,144141.3006940838,20.978722666316788,0.9564263361838989,-0.039509536309075596,-0.030502484950966163,0.28767561315881696,0.6601427036038094,5.824511704710048e-06,-0.010903517314363054,0.8888726077488089,-0.002227133298140631,-0.06348187728825537,-0.0017332623047660418,-0.005946688819575779,-0.03990683772554306,32648,b'\xcc\xe3\xe9\x8b4\x9cX7'
b'\x08\xc9\x01_<wT\xb6',1633942870363934,365295.104070044,144141.30524699672,20.978907724496246,0.9564864383894653,-0.03957160670842235,-0.030332488922359912,0.2874851669831412,0.6747300554228293,0.0005010706812818423,-0.011009606812630985,0.8995949008857121,0.014388436457558095,-0.035135544888571735,-0.0025779439768759366,-0.0062730415928399196,-0.03993398886065507,32648,b'\xcc\xe3\xe9\x8b4\x9cX7'
b'\x06zt\xd5\xef1W ',1633942870373609,365295.11036882555,144141.3096932533,20.97732622573755,0.9565356875184687,-0.03960460217171621,-0.030290431387831076,0.28732115090387855,0.685411287547437,0.0008522300185948249,-0.0111396883912766,0.8919248613119283,-0.03393338281203724,0.01321973739847216,-0.0026678661446339273,-0.0059455641389311465,-0.04227180852209982,32648,b'\xcc\xe3\xe9\x8b4\x9cX7'
b'`d\xb3\xa7vFV(',1633942870382956,365295.11572237953,144141.3132220878,20.977451278068788,0.9565904877184669,-0.03959865855894142,-0.030326925946492833,0.28713561710368496,0.6936293870255564,0.0008105299823402896,-0.011057208376244302,0.8927498587144594,-0.03356059005708535,0.013067901560842969,-0.0026678944969001756,-0.0059453712318397215,-0.04227174659484945,32648,b'\xcc\xe3\xe9\x8b4\x9cX7'
