token,next_token,prev_token,ego_pose_token,camera_token,filename_jpg,timestamp
b'o\xdc\x81\\\xcd}_\xa4',b'\xb7&\xf2\xfc)\x11Y\x02',,b'\xa5l\x95)H\x17Z\xce',b'\x9c\x88\xc4\x02\xa0M\\\xcc',2021.10.11.08.31.07_veh-50_01750_01948/CAM_F0/6fdc815ccd7d5fa4.jpg,1633942871187364
b'\xb7&\xf2\xfc)\x11Y\x02',b'\x08\xe5+o\xac\xf5[0',b'o\xdc\x81\\\xcd}_\xa4',b'%@\x11\x88P\x89Tn',b'\x9c\x88\xc4\x02\xa0M\\\xcc',2021.10.11.08.31.07_veh-50_01750_01948/CAM_F0/b726f2fc29115902.jpg,1633942871287374
b'\x08\xe5+o\xac\xf5[0',b'%\x02\xcb\x18!\xc1\\o',b'\xb7&\xf2\xfc)\x11Y\x02',b'K\r{\xc2\x88rQ\x01',b'\x9c\x88\xc4\x02\xa0M\\\xcc',2021.10.11.08.31.07_veh-50_01750_01948/CAM_F0/08e52b6facf55b30.jpg,1633942871387355
b'%\x02\xcb\x18!\xc1\\o',b'\xf4\x92\xcfu\xae\x18Q\x92',b'\x08\xe5+o\xac\xf5[0',b'\xdbj\xa6\x99F\x82[\x05',b'\x9c\x88\xc4\x02\xa0M\\\xcc',2021.10.11.08.31.07_veh-50_01750_01948/CAM_F0/2502cb1821c15c6f.jpg,1633942871487365
b'\xf4\x92\xcfu\xae\x18Q\x92',b'@\xf0\xe4\x07\x03dY\xe6',b'%\x02\xcb\x18!\xc1\\o',b'`\xb4E\x01\xc5\x06Vt',b'\x9c\x88\xc4\x02\xa0M\\\xcc',2021.10.11.08.31.07_veh-50_01750_01948/CAM_F0/f492cf75ae185192.jpg,1633942871587375
b'@\xf0\xe4\x07\x03dY\xe6',b'L\xb7\x01\xe6S\x91Y\xa3',b'\xf4\x92\xcfu\xae\x18Q\x92',b'\xd7\xa2\x1f_/^S\xad',b'\x9c\x88\xc4\x02\xa0M\\\xcc',2021.10.11.08.31.07_veh-50_01750_01948/CAM_F0/40f0e407036459e6.jpg,1633942871687355
b'L\xb7\x01\xe6S\x91Y\xa3',b'\xd6\x16\xbd\x18\xe2\x9aS\x81',b'@\xf0\xe4\x07\x03dY\xe6',b'\x8c\xa0h\xad\xf8\xa7VA',b'\x9c\x88\xc4\x02\xa0M\\\xcc',2021.10.11.08.31.07_veh-50_01750_01948/CAM_F0/4cb701e6539159a3.jpg,1633942871787365
b'\xd6\x16\xbd\x18\xe2\x9aS\x81',b'$z\xa3lDnT\xc8',b'L\xb7\x01\xe6S\x91Y\xa3',b'\xbf\xb9\x88}\xedpY\xb0',b'\x9c\x88\xc4\x02\xa0M\\\xcc',2021.10.11.08.31.07_veh-50_01750_01948/CAM_F0/d616bd18e29a5381.jpg,1633942871887375
b'$z\xa3lDnT\xc8',b'\xb6\xa89\x07\xb2!^\x94',b'\xd6\x16\xbd\x18\xe2\x9aS\x81',"b'\x8cF\x92\xed\xe7\xcbR""'",b'\x9c\x88\xc4\x02\xa0M\\\xcc',2021.10.11.08.31.07_veh-50_01750_01948/CAM_F0/247aa36c446e54c8.jpg,1633942871987356
b'\xb6\xa89\x07\xb2!^\x94',b'\xd5#\xa1Q \x8f^\xae',b'$z\xa3lDnT\xc8',b'\xdf\xa4\xc7Zt\x88Y\x1a',b'\x9c\x88\xc4\x02\xa0M\\\xcc',2021.10.11.08.31.07_veh-50_01750_01948/CAM_F0/b6a83907b2215e94.jpg,1633942872087365
b'\xd5#\xa1Q \x8f^\xae',b'\xa3j\x9f\x97\x92\x83S\x0c',b'\xb6\xa89\x07\xb2!^\x94',b'1\xebYy\x91N_\xbd',b'\x9c\x88\xc4\x02\xa0M\\\xcc',2021.10.11.08.31.07_veh-50_01750_01948/CAM_F0/d523a151208f5eae.jpg,1633942872187286
b'\xa3j\x9f\x97\x92\x83S\x0c',b'\x0b5\xba\x81c\x93U\xc5',b'\xd5#\xa1Q \x8f^\xae',b'a@\xd9\x0bS\xc9W\x16',b'\x9c\x88\xc4\x02\xa0M\\\xcc',2021.10.11.08.31.07_veh-50_01750_01948/CAM_F0/a36a9f979283530c.jpg,1633942872287296
b'\x0b5\xba\x81c\x93U\xc5',b'\xd8ae\xcf|i]]',b'\xa3j\x9f\x97\x92\x83S\x0c',"b'#\x82\xc9""g\xba\\""'",b'\x9c\x88\xc4\x02\xa0M\\\xcc',2021.10.11.08.31.07_veh-50_01750_01948/CAM_F0/0b35ba81639355c5.jpg,1633942872387277
b'\xd8ae\xcf|i]]',b' \xda\xde%\xcfoY\xb4',b'\x0b5\xba\x81c\x93U\xc5',b'\xc5\xf5F\xbf \xd6]\xf2',b'\x9c\x88\xc4\x02\xa0M\\\xcc',2021.10.11.08.31.07_veh-50_01750_01948/CAM_F0/d86165cf7c695d5d.jpg,1633942872487287
b' \xda\xde%\xcfoY\xb4',b'\x9f$\xda\xa5\x1c\xc1^\xd5',b'\xd8ae\xcf|i]]',b'\x86\x1e\xa0\xdf\xdc\x83S\xf1',b'\x9c\x88\xc4\x02\xa0M\\\xcc',2021.10.11.08.31.07_veh-50_01750_01948/CAM_F0/20dade25cf6f59b4.jpg,1633942872587297
b'\x9f$\xda\xa5\x1c\xc1^\xd5',b'\x1a\xff4y\xcf\x07Q\x19',b' \xda\xde%\xcfoY\xb4',"b'\xaa\x165x""+[8'",b'\x9c\x88\xc4\x02\xa0M\\\xcc',2021.10.11.08.31.07_veh-50_01750_01948/CAM_F0/9f24daa51cc15ed5.jpg,1633942872687277
b'\x1a\xff4y\xcf\x07Q\x19',"b""n\x19\xf8\xdc'\xe7U\x18""",b'\x9f$\xda\xa5\x1c\xc1^\xd5',"b'\xd3\xae\xe8RY,Pv'",b'\x9c\x88\xc4\x02\xa0M\\\xcc',2021.10.11.08.31.07_veh-50_01750_01948/CAM_F0/1aff3479cf075119.jpg,1633942872787287
