token,lidar_pc_token,track_token,next_token,prev_token,x,y,z,width,length,height,vx,vy,vz,yaw,confidence
b'\x9dc\xcd\xecl^_\x98',b'\xbe\x16\x99\xe8\x86<Z\xd6',b'Lu?K\xe9{X\xe7',b'\xb1\x80\xad\xc4;\x8eV\xda',,365265.3686291767,144114.1574122707,21.355499816399714,1.8663221597671509,4.545638084411621,1.5812819004058838,0.0,0.0,0.0,0.5511042651600744,1.0
b'*m\xc3\xack\xa0Wd',b'\xbe\x16\x99\xe8\x86<Z\xd6',b'Z\x1f\x8c\x13\x922X\xf9',"b'\xfdy\x86h\xaa\xa1],'",,365242.8798317863,144099.47879612766,20.89232514654383,1.246660270822715,0.9792692307271967,1.3257834857742807,-4.236793690274996e-05,-0.0009795539417577074,0.0016776203343127991,0.8689813600465284,0.5263190466102294
b'\xf5\xf3\xf6s\xa0\x87SK',b'\xbe\x16\x99\xe8\x86<Z\xd6',b'\xe1\x93\xc6\xfdq\xcb[%',b'\xcb\x0b\xf0\x91\xa8\xf9YV',,365281.5748438086,144124.6650138971,21.18054497498237,1.324148892022079,1.0375294376229023,1.3596868354270915,4.5680226207652093e-05,5.093029677881908e-05,0.0006161792192931491,0.7333417611372597,0.5890664670937805
b'\xffr9\x9bZ\x8f[\xec',b'\xbe\x16\x99\xe8\x86<Z\xd6',b'n\x1cw[\xc0`S\x8a',b'}\xc6\xc2\x1a\x18\x01[\xfe',,365298.38843987463,144156.80446988204,20.870569545475522,1.9875558614730835,5.1554274559021,1.6531414985656738,0.0,0.0,0.0,-0.8487774092877041,1.0
b'\xa8/\x10D\xf66]n',b'\xbe\x16\x99\xe8\x86<Z\xd6',b'\xe05\xd2\x83\xd3@Sf',b':\xc5\xa4&h\xfa\\\xab',,365294.5736132513,144161.51528031036,20.420788935542166,1.8403339385986328,4.358663558959961,1.5721182823181152,0.0,0.0,0.0,-0.8674863892751201,0.9629998641391488
b'\xed1\xd2\xdfa(R\x1f',b'\xbe\x16\x99\xe8\x86<Z\xd6',b'\xd8\xf4\x87\x9e\xfc\xc6]\xd8',b'\x8f\xdcw\x17b<R\xb7',,365289.0544092473,144166.99076764795,19.914093975638103,1.9431670904159546,4.668703556060791,1.6116383075714111,0.0,0.0,0.0,-0.8053364869966763,1.0
b';[\xe1\xde\xc1O^\xe4',b'\xbe\x16\x99\xe8\x86<Z\xd6',b'z\xdcw\xb5 f_\x07',b'\x97\x9d\xcb\x1e\x9d\xb4Q\xe1',,365314.22450569755,144138.90879784088,22.255480242004133,1.926050066947937,4.528510570526123,1.8459275960922241,0.0,0.0,0.0,-0.93814494330985,0.86619953596902
b'\xe8\xb1\xad\xddS\x82ZA',b'\xbe\x16\x99\xe8\x86<Z\xd6',b'\xfb\xc6\x9a!/\xefR\x0f',b'\x91\xdc\x1dx\x82\xc7^\xab',,365268.0565479677,144116.0885761785,21.077739893195986,1.2794479437182171,1.0320969148217132,1.3623702790017558,0.00014590180898340884,-0.0008698235620363294,0.001615380060968109,0.983990970381627,0.6040610763871237
b'\xe4\x92\xa3\x99\x1d\xdf_\x02',b'\xbe\x16\x99\xe8\x86<Z\xd6',b'\xd611w\xd6\x89_\x13',b'\x808\xe5 \xda\x9fQ\xe4',,365282.7908645699,144171.86495342432,19.31596521396317,1.9780727624893188,4.79920768737793,1.5752243995666504,-0.42962040752981934,0.11608981325460699,0.0,-0.583920961238657,0.9859375089446979
b'\xdd\x12\xce\x8f)f\\d',b'\xbe\x16\x99\xe8\x86<Z\xd6',b'\xe3\x1d\x19\xe2\x1a\xceY\x15',b'<\xe3%\xae\x1a\x7fP\xa1',,365273.5358049827,144176.06601460985,19.305526376645556,2.4468841552734375,6.248892307281494,2.848306179046631,0.0,0.0,0.0,-0.8568453403543884,0.5607307434663541
b'\x8c\x17\xda\x02\x1c5Y\x0f',b'\xbe\x16\x99\xe8\x86<Z\xd6',b'x\x10#\x92\x1b\xe5T{',b'?DF)5[X\xf7',,365318.8146937391,144132.49609938747,22.39106769058291,1.9474518299102783,4.431299686431885,1.6749762296676636,0.0,0.0,0.0,-0.9582342955133916,1.0
b'\x02O&\xbe7\x96PF',b'\xbe\x16\x99\xe8\x86<Z\xd6',b'\x1c\xd8\x1f\xb3\xe7\xda[/',b't9\xe0\x83\n\\[\x1b',,365319.93504183774,144136.34116235442,22.521468712958306,0.7841015104844045,0.7159918126745209,1.7378466642770398,-0.021646645313189394,0.08154898520623965,-0.005574239178810139,2.7934497718268902,0.7107191375699298
b'\x1c\x98E\xa9\x14tU\xaa',b'\xbe\x16\x99\xe8\x86<Z\xd6',b'%\x95\xba\xa5\xc8\x8c^\xb9',b'\xa2h\x13\x1d\xea\x8dX\x7f',,365320.6535792075,144113.76595896168,23.70046886090433,0.7956358930625151,0.7407651550381772,1.7596217888438301,0.3491720795435369,-0.21885380962521553,0.05192612765883195,-0.6351916891070339,0.824570587237636
b'\x93&\xff-\x18\xe3\\\x84',b'\xbe\x16\x99\xe8\x86<Z\xd6',b'\x98j\xc9FF\x0fP\x84',b'\xe4\xc3%2\x1f1]\x14',,365315.1329034625,144145.66916275892,22.084406664773727,0.8457934023257876,0.8181369403249397,1.664048955072419,-0.742985324080816,0.6075279785694522,-0.09455828806553258,2.460354389807355,0.7360295581144587
b'\x0b\x9c\xd2Y\xf42R\x8b',b'\xbe\x16\x99\xe8\x86<Z\xd6',b'\xc1\xa3T`\x9a_Rg',b'0\xe4\xfe;]\x88P\xa4',,365274.19590015284,144120.56223534932,20.88129445428379,0.8596787603658804,0.987707897608268,1.232827331257809,-0.0009332569896027057,-0.002469339251736772,0.0010211184500399405,1.838993984426354,0.6034748329266959
b'\x91\xf2\xe3\x8e3\xacZ\x1e',b'\xbe\x16\x99\xe8\x86<Z\xd6',b'%\x9e\xe0\x18\x93\x8b^\xbb',b'\xc8\xf1\x9a\x19}[Z:',,365242.7202398193,144099.92139286493,20.60317608692103,0.3429013192653656,0.3439074158668518,0.715366005897522,0.0,0.0,0.0,2.3255390244994016,0.4732024859320335
b'b\x9a\xdc\x91\x1e\xd0^\xc6',b'\xbe\x16\x99\xe8\x86<Z\xd6',b'\xcc\xf1\xc7\xb24f[a',b'Z\xf3\x81W\x84I\\z',,365318.771848786,144114.39002030814,23.489819663114687,0.7896185230143472,0.7486356041300386,1.7728626705423416,-0.017547179515565097,0.12063850208785443,-0.010782316543230488,0.26015516962769114,0.4850020517598465
b'\xb1\x80\xad\xc4;\x8eV\xda',b'p\xd2O\xff\xa35Y\xc5',b'Lu?K\xe9{X\xe7',b'\x9c\xf3\x02\x07\xd8\xf9Y\xe4',b'\x9dc\xcd\xecl^_\x98',365265.38126309426,144114.153673192,21.361227586954772,1.8664857149124146,4.536634922027588,1.5820995569229126,0.0,0.0,0.0,0.5527734678039746,0.9812716420426444
"b'\xfdy\x86h\xaa\xa1],'",b'p\xd2O\xff\xa35Y\xc5',b'Z\x1f\x8c\x13\x922X\xf9',b'<\xa6A\x8c\xbb\xff[\x1c',b'*m\xc3\xack\xa0Wd',365242.8798296685,144099.4787471627,20.89240900575148,1.246660270822715,0.9792692307271967,1.3257834857742807,-4.236793690274996e-05,-0.0009795539417577074,0.0016776203343127991,0.8689813600465284,0.5263190466102294
b'\xcb\x0b\xf0\x91\xa8\xf9YV',b'p\xd2O\xff\xa35Y\xc5',b'\xe1\x93\xc6\xfdq\xcb[%',b'\x97\xb2\xd6\x1fo\x91Z\xe9',b'\xf5\xf3\xf6s\xa0\x87SK',365281.57484609203,144124.66501644294,21.180575775933008,1.324148892022079,1.0375294376229023,1.3596868354270915,4.5680226207652093e-05,5.093029677881908e-05,0.0006161792192931491,0.7333417611372597,0.5890664670937805
b'}\xc6\xc2\x1a\x18\x01[\xfe',b'p\xd2O\xff\xa35Y\xc5',b'n\x1cw[\xc0`S\x8a',b'\x17\x19\xb4\xb6C\xffY5',b'\xffr9\x9bZ\x8f[\xec',365298.39181029226,144156.8129915344,20.86501262602554,1.9967869520187378,5.189323902130127,1.6311625242233276,0.0,0.0,0.0,-0.847737802952877,0.9956949534377088
b':\xc5\xa4&h\xfa\\\xab',b'p\xd2O\xff\xa35Y\xc5',b'\xe05\xd2\x83\xd3@Sf',b';\xaa\xf2\x06)\xb2V7',b'\xa8/\x10D\xf66]n',365294.57574027014,144161.50398335612,20.420643290468,1.8269327878952026,4.339331150054932,1.5769202709197998,0.0,0.0,0.0,-0.8710577622990322,1.0
b'\x8f\xdcw\x17b<R\xb7',b'p\xd2O\xff\xa35Y\xc5',b'\xd8\xf4\x87\x9e\xfc\xc6]\xd8',b'\xa2y\xa1\xc5\xa4-Z\xb9',b'\xed1\xd2\xdfa(R\x1f',365289.04626443796,144166.99137564295,19.903992326127188,1.9417757987976074,4.669167995452881,1.6124883890151978,0.0,0.0,0.0,-0.8058634383813414,0.9544359575398721
b'\x97\x9d\xcb\x1e\x9d\xb4Q\xe1',b'p\xd2O\xff\xa35Y\xc5',b'z\xdcw\xb5 f_\x07',b'\x03\xb9\xfa\x99\xb8\xea^\xad',b';[\xe1\xde\xc1O^\xe4',365314.2277220488,144138.89981643224,22.24850036590207,1.9205846786499023,4.526368618011475,1.854722261428833,0.0,0.0,0.0,-0.9411549286003458,0.8968191320372375
b'\x91\xdc\x1dx\x82\xc7^\xab',b'p\xd2O\xff\xa35Y\xc5',b'\xfb\xc6\x9a!/\xefR\x0f',b'\x82\xa7\xcb\x05\xc9\x13S\xc8',b'\xe8\xb1\xad\xddS\x82ZA',365268.0573904757,144116.07649169184,21.149348311348895,1.2820494526493262,1.0374632267372963,1.3690770505867762,6.17486031119817e-05,-0.00061575754997204,0.001248850423180934,0.9876857488031172,0.5918898662724082
b'\x808\xe5 \xda\x9fQ\xe4',b'p\xd2O\xff\xa35Y\xc5',b'\xd611w\xd6\x89_\x13',b'\xc4J{M\xbc\xc1Z\xd6',b'\xe4\x92\xa3\x99\x1d\xdf_\x02',365282.80728085345,144171.85024507288,19.30763060972374,1.980605959892273,4.797667503356934,1.582896113395691,-0.3967998733590562,0.1182944040186272,0.0,-0.5809089297479835,1.0
b'<\xe3%\xae\x1a\x7fP\xa1',b'p\xd2O\xff\xa35Y\xc5',b'\xe3\x1d\x19\xe2\x1a\xceY\x15',b'Y\x1c\xca^\xd7{W3',b'\xdd\x12\xce\x8f)f\\d',365273.51941733976,144176.10749055305,19.28891304323049,2.455019474029541,6.273331165313721,2.8211886882781982,0.0,0.0,0.0,-0.8456809597451358,0.486496835219412
b'?DF)5[X\xf7',b'p\xd2O\xff\xa35Y\xc5',b'x\x10#\x92\x1b\xe5T{',b'L[B3\xb9:W8',b'\x8c\x17\xda\x02\x1c5Y\x0f',365318.81981950585,144132.49841808077,22.36775242264576,1.9420109987258911,4.401691436767578,1.7096790075302124,0.0,0.0,0.0,-0.9589816457303233,0.9747756538291273
b't9\xe0\x83\n\\[\x1b',b'p\xd2O\xff\xa35Y\xc5',b'\x1c\xd8\x1f\xb3\xe7\xda[/',b'\x97\xd3\xdd\xe3/tS\x86',b'\x02O&\xbe7\x96PF',365319.93168646086,144136.34369982543,22.514637428224926,0.7833398219860371,0.7160663578398605,1.7375034248008274,-0.013784904028758422,0.05108736068679123,-0.004816702171621952,2.8311245352303054,0.7122853802820157
b'\xa2h\x13\x1d\xea\x8dX\x7f',b'p\xd2O\xff\xa35Y\xc5',b'%\x95\xba\xa5\xc8\x8c^\xb9',b'\x0e\xe5\x8f\x9a\xb31Z\x00',b'\x1c\x98E\xa9\x14tU\xaa',365320.67042845296,144113.76489639276,23.69661141469385,0.797674133421033,0.7415965244347605,1.761939669189381,0.34873666046770707,-0.17807382690050144,0.04901038650139668,-0.6021668988644415,0.8230620573054617
b'\xe4\xc3%2\x1f1]\x14',b'p\xd2O\xff\xa35Y\xc5',b'\x98j\xc9FF\x0fP\x84',b'\x04\xbc\x8e;~\xaaRK',b'\x93&\xff-\x18\xe3\\\x84',365315.09709494334,144145.70121885953,22.0672468757668,0.8526454979984562,0.8216975605206076,1.6649950557304467,-0.7275146157184776,0.6311061682953066,-0.09427403240338024,2.449445596257055,0.733350527843548
b'0\xe4\xfe;]\x88P\xa4',b'p\xd2O\xff\xa35Y\xc5',b'\xc1\xa3T`\x9a_Rg',b'\x1f\xef\xd6\x99\xc7\xa0]R',b'\x0b\x9c\xd2Y\xf42R\x8b',365274.19585350214,144120.56211191445,20.88134549693175,0.8596787603658804,0.987707897608268,1.232827331257809,-0.0009332569896027057,-0.002469339251736772,0.0010211184500399405,1.838993984426354,0.6034748329266959
b'\xc8\xf1\x9a\x19}[Z:',b'p\xd2O\xff\xa35Y\xc5',b'%\x9e\xe0\x18\x93\x8b^\xbb',b'\\\xc0bl\xe5\x99Z\xff',b'\x91\xf2\xe3\x8e3\xacZ\x1e',365242.7202398193,144099.92139286493,20.60317608692103,0.3429013192653656,0.3439074158668518,0.715366005897522,0.0,0.0,0.0,2.3255390244994016,0.4732024859320335
b'Z\xf3\x81W\x84I\\z',b'p\xd2O\xff\xa35Y\xc5',b'\xcc\xf1\xc7\xb24f[a',b'!\x8e\x17\xd0e\xd2_G',b'b\x9a\xdc\x91\x1e\xd0^\xc6',365318.8022754695,144114.41034315154,23.48985167179914,0.7992207233660159,0.752417799860535,1.7786129342628934,0.0825418448790872,0.10211137247840907,-0.005063385674934375,0.2686624631558274,0.5067465316687051
b'\xa0it\xdaw\xfa]^',b'p\xd2O\xff\xa35Y\xc5',b'\xa7\xc9\xd4\xa5\xeeC^=',b'D\x17b\xf2\xeb\xdf^\xb0',,365321.6128477005,144117.16633204644,22.36187392924543,0.3954486548900604,0.3931383490562439,0.7689762115478516,0.0,0.0,0.0,-3.017786382546821,0.4214377052597301
b'\x9c\xf3\x02\x07\xd8\xf9Y\xe4',b'\xb2x\x87\xddZoP\x1d',b'Lu?K\xe9{X\xe7',b'\xb5\xf5\xd6\xe8\xcfW_u',b'\xb1\x80\xad\xc4;\x8eV\xda',365265.3819744002,144114.1493962176,21.414753048467357,1.8687468767166138,4.557603359222412,1.6115485429763794,0.0,0.0,0.0,0.554877868679903,0.9512208707859445
b'<\xa6A\x8c\xbb\xff[\x1c',b'\xb2x\x87\xddZoP\x1d',b'Z\x1f\x8c\x13\x922X\xf9',b'\xb0\xea\xcfj\xf5\xbbS\x12',"b'\xfdy\x86h\xaa\xa1],'",365242.8798275506,144099.47869819676,20.892492866636754,1.246660270822715,0.9792692307271967,1.3257834857742807,-4.236793690274996e-05,-0.0009795539417577074,0.0016776203343127991,0.8689813600465284,0.5263190466102294
b'\x97\xb2\xd6\x1fo\x91Z\xe9',b'\xb2x\x87\xddZoP\x1d',b'\xe1\x93\xc6\xfdq\xcb[%',b'\xc3\x9e\xcc\x9b\xfd\x9f\\\xc0',b'\xcb\x0b\xf0\x91\xa8\xf9YV',365281.5748483755,144124.66501898886,21.180606577499823,1.324148892022079,1.0375294376229023,1.3596868354270915,4.5680226207652093e-05,5.093029677881908e-05,0.0006161792192931491,0.7333417611372597,0.5890664670937805
