token,next_token,prev_token,ego_pose_token,lidar_token,scene_token,filename,timestamp
b'\xbe\x16\x99\xe8\x86<Z\xd6',b'p\xd2O\xff\xa35Y\xc5',,b'b\x94\xc2\x0f\x07\xbd_\xb5',b'h\xe3\x13@\x15\x85_h',"b',\xab\x05.\xa4\xe0Zr'",2021.10.11.08.31.07_veh-50_01750_01948/MergedPointCloud/be1699e8863c5ad6.pcd,1633942871199937
b'p\xd2O\xff\xa35Y\xc5',b'\xb2x\x87\xddZoP\x1d',b'\xbe\x16\x99\xe8\x86<Z\xd6',b'\x82\xcax#\x8b\xa5P\xe7',b'h\xe3\x13@\x15\x85_h',"b',\xab\x05.\xa4\xe0Zr'",2021.10.11.08.31.07_veh-50_01750_01948/MergedPointCloud/70d24fffa33559c5.pcd,1633942871249924
b'\xb2x\x87\xddZoP\x1d',b'\xb6\xcd\x07\x12\x95#U\x98',b'p\xd2O\xff\xa35Y\xc5',b'^\x08s\xed\xb3\xe1R$',b'h\xe3\x13@\x15\x85_h',"b',\xab\x05.\xa4\xe0Zr'",2021.10.11.08.31.07_veh-50_01750_01948/MergedPointCloud/b27887dd5a6f501d.pcd,1633942871299912
b'\xb6\xcd\x07\x12\x95#U\x98',b'\x81\xa9\xb7\x1e=\xbfZK',b'\xb2x\x87\xddZoP\x1d',b'R\xc2[\xfeBG\\\xee',b'h\xe3\x13@\x15\x85_h',"b',\xab\x05.\xa4\xe0Zr'",2021.10.11.08.31.07_veh-50_01750_01948/MergedPointCloud/b6cd071295235598.pcd,1633942871349900
b'\x81\xa9\xb7\x1e=\xbfZK',b'3e\xbd\x13\xca\xa8ZH',b'\xb6\xcd\x07\x12\x95#U\x98',b'\xe3\xe2\xc0\xbf`\x87Z\xdb',b'h\xe3\x13@\x15\x85_h',"b',\xab\x05.\xa4\xe0Zr'",2021.10.11.08.31.07_veh-50_01750_01948/MergedPointCloud/81a9b71e3dbf5a4b.pcd,1633942871399888
b'3e\xbd\x13\xca\xa8ZH',b'\xaa\xff\xe2\xc8\x07p[&',b'\x81\xa9\xb7\x1e=\xbfZK',b'\xc2e>\x94\x1c\x11X\xf6',b'h\xe3\x13@\x15\x85_h',"b',\xab\x05.\xa4\xe0Zr'",2021.10.11.08.31.07_veh-50_01750_01948/MergedPointCloud/3365bd13caa85a48.pcd,1633942871449876
b'\xaa\xff\xe2\xc8\x07p[&',b'\xb2\xf3\xb0\x8c\xaa\x0b\\\xf1',b'3e\xbd\x13\xca\xa8ZH',b'\x1dzX\x0e\xf9\xa8X\x00',b'h\xe3\x13@\x15\x85_h',"b',\xab\x05.\xa4\xe0Zr'",2021.10.11.08.31.07_veh-50_01750_01948/MergedPointCloud/aaffe2c807705b26.pcd,1633942871499863
b'\xb2\xf3\xb0\x8c\xaa\x0b\\\xf1',b'\xbc\x89\x06\x82\xbb\xf2T/',b'\xaa\xff\xe2\xc8\x07p[&',b'\xf2\xc7<\xf3:\x9eU.',b'h\xe3\x13@\x15\x85_h',"b',\xab\x05.\xa4\xe0Zr'",2021.10.11.08.31.07_veh-50_01750_01948/MergedPointCloud/b2f3b08caa0b5cf1.pcd,1633942871549851
b'\xbc\x89\x06\x82\xbb\xf2T/',b'\xe2\x91\xbc+_\xe5UH',b'\xb2\xf3\xb0\x8c\xaa\x0b\\\xf1',b'X\x85\xe0\xedE8Q\x0b',b'h\xe3\x13@\x15\x85_h',"b',\xab\x05.\xa4\xe0Zr'",2021.10.11.08.31.07_veh-50_01750_01948/MergedPointCloud/bc890682bbf2542f.pcd,1633942871599840
b'\xe2\x91\xbc+_\xe5UH',b'\xeaZ\xfcJ9\xe4Q\xb6',b'\xbc\x89\x06\x82\xbb\xf2T/',b'\x92\xb0\xd5\xd9\x0f#]r',b'h\xe3\x13@\x15\x85_h',"b',\xab\x05.\xa4\xe0Zr'",2021.10.11.08.31.07_veh-50_01750_01948/MergedPointCloud/e291bc2b5fe55548.pcd,1633942871649828
b'\xeaZ\xfcJ9\xe4Q\xb6',b'\xed\xdf\x03\x87\xab\xc3[N',b'\xe2\x91\xbc+_\xe5UH',b'\x89\xe2{_O\x82]\xb1',b'h\xe3\x13@\x15\x85_h',"b',\xab\x05.\xa4\xe0Zr'",2021.10.11.08.31.07_veh-50_01750_01948/MergedPointCloud/ea5afc4a39e451b6.pcd,1633942871699817
b'\xed\xdf\x03\x87\xab\xc3[N',"b'KR""\x9a\x9d\x8fZi'",b'\xeaZ\xfcJ9\xe4Q\xb6',"b'\xb5\xd6,\x1e\x1a\xccWM'",b'h\xe3\x13@\x15\x85_h',"b',\xab\x05.\xa4\xe0Zr'",2021.10.11.08.31.07_veh-50_01750_01948/MergedPointCloud/eddf0387abc35b4e.pcd,1633942871749805
"b'KR""\x9a\x9d\x8fZi'",b'g\x9d\xab\x84mdR\x8f',b'\xed\xdf\x03\x87\xab\xc3[N',b'+s\x9a\x87\xcb\xbd^L',b'h\xe3\x13@\x15\x85_h',"b',\xab\x05.\xa4\xe0Zr'",2021.10.11.08.31.07_veh-50_01750_01948/MergedPointCloud/4b52229a9d8f5a69.pcd,1633942871799791
b'g\x9d\xab\x84mdR\x8f',b'\xed\x9f\x05\xf7\xb4?R\xac',"b'KR""\x9a\x9d\x8fZi'",b'\xd1>\xbc\xe5\xfc\xf2Q:',b'h\xe3\x13@\x15\x85_h',"b',\xab\x05.\xa4\xe0Zr'",2021.10.11.08.31.07_veh-50_01750_01948/MergedPointCloud/679dab846d64528f.pcd,1633942871849776
b'\xed\x9f\x05\xf7\xb4?R\xac',b'J/\xd7^P\xb8U\x03',b'g\x9d\xab\x84mdR\x8f',b'\x8eH!\x8b\xfd\xdeT\xbc',b'h\xe3\x13@\x15\x85_h',"b',\xab\x05.\xa4\xe0Zr'",2021.10.11.08.31.07_veh-50_01750_01948/MergedPointCloud/ed9f05f7b43f52ac.pcd,1633942871899764
b'J/\xd7^P\xb8U\x03',b'\xf5K8z\xd5\xcdR\\',b'\xed\x9f\x05\xf7\xb4?R\xac',b'\x96\xa9n\xaa\xd7\x80P\xf7',b'h\xe3\x13@\x15\x85_h',"b',\xab\x05.\xa4\xe0Zr'",2021.10.11.08.31.07_veh-50_01750_01948/MergedPointCloud/4a2fd75e50b85503.pcd,1633942871949753
b'\xf5K8z\xd5\xcdR\\',b'\xec\xd7\xccj\x04fU%',b'J/\xd7^P\xb8U\x03',b'\xd7@\x86+\xd22_\xe5',b'h\xe3\x13@\x15\x85_h',"b',\xab\x05.\xa4\xe0Zr'",2021.10.11.08.31.07_veh-50_01750_01948/MergedPointCloud/f54b387ad5cd525c.pcd,1633942871999743
b'\xec\xd7\xccj\x04fU%',b'\xb0\xb3E\x10B\xa2Vs',b'\xf5K8z\xd5\xcdR\\',b'l\x1d\xf7\xe3\x1a\xbbT\x9c',b'h\xe3\x13@\x15\x85_h',"b',\xab\x05.\xa4\xe0Zr'",2021.10.11.08.31.07_veh-50_01750_01948/MergedPointCloud/ecd7cc6a04665525.pcd,1633942872049736
b'\xb0\xb3E\x10B\xa2Vs',b'\xabAq\x07\xe09Y\xc3',b'\xec\xd7\xccj\x04fU%',b'\xa1yB`\xa3\x82Z\xfe',b'h\xe3\x13@\x15\x85_h',"b',\xab\x05.\xa4\xe0Zr'",2021.10.11.08.31.07_veh-50_01750_01948/MergedPointCloud/b0b3451042a25673.pcd,1633942872099731
