token,log_token,name,goal_ego_pose_token,roadblock_ids
"b',\xab\x05.\xa4\xe0Zr'",b'\xcc\xe3\xe9\x8b4\x9cX7',scene-0001,b'\xb6\\\xce\xe87cY\xd0',51127 50427 51216 50373 51377 50223 51544 50425 50722 50080 50798 50023 50865 38768 50716 39023 50999 50231 51208 50319 51064 50137 51616 50084 51557 50136
b'\x0cQc\xc7\xc0\xa4P;',b'\xcc\xe3\xe9\x8b4\x9cX7',scene-0002,b'\x07\xeb8R\xc9\xd3U\x91',51216 50373 51377 50223 51544 50425 50722 50080 50798 50023 50865 38768 50716 39023 50999 50231 51208 50319 51064 50137 51616 50084 51557 50136 51622 50018
b'\xdc\xed|\x1a\xdb\xe4S\r',b'\xcc\xe3\xe9\x8b4\x9cX7',scene-0003,b'_\xd4\x18\x96\x1f\x85P\xb6',51544 50425 50722 50080 50798 50023 50865 38768 50716 39023 50999 50231 51208 50319 51064 50137 51616 50084 51557 50136 51622 50018 51072 50010 51621 50300 51087 50434 50899 50462
b']\xf1\xfa\xd5XT^\x9e',b'\xcc\xe3\xe9\x8b4\x9cX7',scene-0004,,50722 50080 50798 50023 50865 38768 50716 39023 50999 50231 51208 50319 51064 50137 51616 50084 51557 50136 51622 50018 51072 50010 51621 50300 51087 50434 50899 50462 50759 50323 51682 50098 51004 49989
b'\x8d\x15\x95\xcanj_\x11',b'\xcc\xe3\xe9\x8b4\x9cX7',scene-0005,,50798 50023 50865 38768 50716 39023 50999 50231 51208 50319 51064 50137 51616 50084 51557 50136 51622 50018 51072 50010 51621 50300 51087 50434 50899 50462 50759 50323 51682 50098 51004 49989 51052 50182
b'\rd\x16\xc2Pj[<',b'\xcc\xe3\xe9\x8b4\x9cX7',scene-0006,,50865 38768 50716 39023 50999 50231 51208 50319 51064 50137 51616 50084 51557 50136 51622 50018 51072 50010 51621 50300 51087 50434 50899 50462 50759 50323 51682 50098 51004 49989 51052 50182 50996 50478 51441 50163 51645 50053 51144 50285
"b'\xc1\nW\x14""F\\Q'",b'\xcc\xe3\xe9\x8b4\x9cX7',scene-0007,,50865 38768 50716 39023 50999 50231 51208 50319 51064 50137 51616 50084 51557 50136 51622 50018 51072 50010 51621 50300 51087 50434 50899 50462 50759 50323 51682 50098 51004 49989 51052 50182 50996 50478 51441 50163 51645 50053 51144 50285
b'\x96\x02bW\x9e0Q7',b'\xcc\xe3\xe9\x8b4\x9cX7',scene-0008,,50716 39023 50999 50231 51208 50319 51064 50137 51616 50084 51557 50136 51622 50018 51072 50010 51621 50300 51087 50434 50899 50462 50759 50323 51682 50098 51004 49989 51052 50182 50996 50478 51441 50163 51645 50053 51144 50285 50871 50131
b'\xed\xd0\xed\xb9\xe4\xa1S\x87',b'\xcc\xe3\xe9\x8b4\x9cX7',scene-0009,,51616 50084 51557 50136 51622 50018 51072 50010 51621 50300 51087 50434 50899 50462 50759 50323 51682 50098 51004 49989 51052 50182 50996 50478 51441 50163 51645 50053 51144 50285 50871 50131 51576 50011 51572 50522
b'_\xb5M\x82\xdb\xefW\xb0',b'\xcc\xe3\xe9\x8b4\x9cX7',scene-0010,,51557 50136 51622 50018 51072 50010 51621 50300 51087 50434 50899 50462 50759 50323 51682 50098 51004 49989 51052 50182 50996 50478 51441 50163 51645 50053 51144 50285 50871 50131 51576 50011 51572 50522
b'\x8af\xd3Yn\x82]\x81',b'\xcc\xe3\xe9\x8b4\x9cX7',scene-0011,,50899 50462 50759 50323 51682 50098 51004 49989 51052 50182 50996 50478 51441 50163 51645 50053 51144 50285 50871 50131 51576 50011 51572 50522 51285 50195 51020 49926 51313 50274 51635 50063
