token,category_token,width,length,height
b'Lu?K\xe9{X\xe7',b'\xfdi\x05\x9bb\xa3F\x9f',1.9401308059692384,4.592973518371582,1.6523237228393555
b'Z\x1f\x8c\x13\x922X\xf9',b'*\x10\x9a\xb4\xba\xd9@*',1.277820889264999,0.9976387615714317,1.3648793872884506
b'\xe1\x93\xc6\xfdq\xcb[%',b'*\x10\x9a\xb4\xba\xd9@*',1.3662534870833984,1.1050637638184762,1.5005580210508975
b'n\x1cw[\xc0`S\x8a',b'\xfdi\x05\x9bb\xa3F\x9f',2.0253472805023196,5.2511372566223145,1.6761287689208986
b'\xe05\xd2\x83\xd3@Sf',b'\xfdi\x05\x9bb\xa3F\x9f',1.8424755930900574,4.547290182113647,1.63321772813797
b'\xd8\xf4\x87\x9e\xfc\xc6]\xd8',b'\xfdi\x05\x9bb\xa3F\x9f',1.9368807077407837,4.8556780338287355,1.673646628856659
b'z\xdcw\xb5 f_\x07',b'\xfdi\x05\x9bb\xa3F\x9f',1.9519354701042175,4.659520864486694,1.9046928882598877
b'\xfb\xc6\x9a!/\xefR\x0f',b'*\x10\x9a\xb4\xba\xd9@*',1.3328606268572216,1.065608758744389,1.4239036801757619
b'\xd611w\xd6\x89_\x13',b'\xfdi\x05\x9bb\xa3F\x9f',2.00620014667511,4.93353042602539,1.6554403185844422
b'\xe3\x1d\x19\xe2\x1a\xceY\x15',b'\xfdi\x05\x9bb\xa3F\x9f',2.62630033493042,6.76334810256958,3.199265718460083
b'x\x10#\x92\x1b\xe5T{',b'\xfdi\x05\x9bb\xa3F\x9f',1.9801881074905396,4.683107089996338,1.8078208804130553
b'\x1c\xd8\x1f\xb3\xe7\xda[/',b'l\xad\x90n\xb0\xb9K\xb5',0.8089416000298921,0.7819165184241768,1.7893398428557166
b'%\x95\xba\xa5\xc8\x8c^\xb9',b'l\xad\x90n\xb0\xb9K\xb5',0.8810685166722372,0.8141069861428468,1.863357816222759
b'\x98j\xc9FF\x0fP\x84',b'l\xad\x90n\xb0\xb9K\xb5',0.9141285736667926,0.8732236095525767,1.7276081783821768
b'\xc1\xa3T`\x9a_Rg',b'.\x81\x0c\xd3q\x8dI\xab',0.8596787603658804,0.987707897608268,1.2353458589186816
b'%\x9e\xe0\x18\x93\x8b^\xbb',b'\x85\xab\xeb\xdc\xcdMF\xc7',0.35598219569690587,0.35522155240559994,0.7355657025421699
b'\xcc\xf1\xc7\xb24f[a',b'l\xad\x90n\xb0\xb9K\xb5',0.886619194916699,0.8167697877529329,1.9226202993049117
b'\xa7\xc9\xd4\xa5\xeeC^=',b'\x85\xab\xeb\xdc\xcdMF\xc7',0.3954486548900604,0.3901131572028425,0.793606766084906
"b'v""\x89\x00\xfbuP\xf5'",b'.\x81\x0c\xd3q\x8dI\xab',1.0557114473636315,0.6555345839936138,1.5058426760130295
b'\x80\xef\x11\x1f\xc1\x83U\xe9',b'l\xad\x90n\xb0\xb9K\xb5',0.8657493456404934,0.9126637000669385,1.8183537916760213
"b'xH)\xf5\xac>S""'",b'\x85\xab\xeb\xdc\xcdMF\xc7',0.4001100957393646,0.3966107604183016,0.7694658463115895
