token,lidar_pc_token,lane_connector_id,status
b'\xf2\xed\x16\xfd\x91\x0fVX',b'\x8a\x89\xd0\xda\x99\x92Z#',53656,red
b'W/\x92\xfd\x83\xacU\xdb',b'\x8a\x89\xd0\xda\x99\x92Z#',53006,red
b'\x1aQ\xc2\xeb\x84\x96W\xee',b'\xde\x07\xedZ\xb4$Ym',53656,red
b'4R;W\x05uU\xa3',b'\xde\x07\xedZ\xb4$Ym',53006,red
b'\xc9\\\x17\xc1\xe5\xaeV\xa3',b'@\\W\x1fS:_\xcc',53656,red
b'\xd4\xad\xa9FV/Z|',b'@\\W\x1fS:_\xcc',53006,red
b'\xce\xbcB\xa4Z\xb2TQ',b'\xee\x1be\xf1\x80GU\x99',53656,red
b'P\xb5\xb9\xce\xb0%V\x0b',b'\xee\x1be\xf1\x80GU\x99',53006,red
b'\x9ft\xddt\xdd\xe2Y\xb0',b'hq\xc4\xeb\xb3\xe0\\J',53656,red
b'w\x99\x97\xca\xa3\xbd[\xef',b'hq\xc4\xeb\xb3\xe0\\J',53006,red
b'\x96\x86\xb4\n*\xddYK',b'\x99\xfcN\xa1\xf8\xd7T\xf8',53656,red
b'j&\x0c\xc4J\x83[\xe5',b'\x99\xfcN\xa1\xf8\xd7T\xf8',53006,red
b'LP\x18\xaf\x00\x8dZ\n',b'8\xe4x/\x1fFQ\x1c',53656,red
b'r\x1c\x07\xdf\x1e\xb5R\xfa',b'8\xe4x/\x1fFQ\x1c',53006,red
b'\xbc;3/;wZa',b'\x89t\xa5\xea\xc5aR\x14',53656,red
b'\xf7n\x894\x19iW\xe3',b'\x89t\xa5\xea\xc5aR\x14',53006,red
b'r\x1cS\xd2\xa2\xe1T\xec',b'l\x9a\x88I\xe0\x92V\xaf',53656,red
b'W\t<!#\x83Z\x0e',b'l\x9a\x88I\xe0\x92V\xaf',53006,red
b'6\xb0qZk7\\\x0b',b'\xad2ohG\xc4Vz',53656,red
b'\xb7\xf9`m\xfe\\Y1',b'\xad2ohG\xc4Vz',53006,red
b'\xe4\xda\xec\xebW\x00\\\xe9',b'\xccf\xac\xbf\xc5\x7fZ%',53656,red
b'\x144\x95-\x15\xdaY\x1d',b'\xccf\xac\xbf\xc5\x7fZ%',53006,red
b'0\x19\xc5\xa4\xc0QY;',b'm\x87\x13\x96\x9cqPf',53656,red
b'\xac\xf0o\x07\xb5\xba\\\x15',b'm\x87\x13\x96\x9cqPf',53006,red
